date,signal_date,equity,gross_return,net_return,turnover,cost,trade_count,gross_exposure,positions,notes
2026-04-29,2026-04-28,1.0,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=3;anomaly_veto_removed=0
2026-04-30,2026-04-29,1.0,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=3;anomaly_veto_removed=0
2026-05-01,2026-04-30,1.0,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=2;anomaly_veto_removed=0
2026-05-02,2026-05-01,0.99984,0.0,-0.00015999999999999999,0.2,0.00015999999999999999,2,0.2,"{""159995"": 0.1, ""512880"": 0.1}",trend_filter_removed=1;anomaly_veto_removed=0
2026-05-03,2026-05-02,0.9994800575999999,0.0,-0.00036,0.2,0.00036,2,0.0,{},trend_filter_removed=3;anomaly_veto_removed=0
2026-05-04,2026-05-03,0.9994800575999999,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=2;anomaly_veto_removed=0
2026-05-05,2026-05-04,0.9994800575999999,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=2;anomaly_veto_removed=0
2026-05-06,2026-05-05,0.9994800575999999,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=0;anomaly_veto_removed=0
2026-05-07,2026-05-06,0.9994800575999999,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=1;anomaly_veto_removed=0
2026-05-08,2026-05-07,0.9994800575999999,0.0,0.0,0.0,0.0,0,0.0,{},trend_filter_removed=16;anomaly_veto_removed=0
2026-05-09,2026-05-08,0.9993201407907839,0.0,-0.00015999999999999999,0.2,0.00015999999999999999,2,0.2,"{""159995"": 0.1, ""512880"": 0.1}",trend_filter_removed=9;anomaly_veto_removed=0
2026-05-10,2026-05-09,0.9989603855400992,0.0,-0.00036,0.2,0.00036,2,0.0,{},trend_filter_removed=8;anomaly_veto_removed=0
2026-05-11,2026-05-10,0.9988005518784128,0.0,-0.00015999999999999999,0.2,0.00015999999999999999,2,0.2,"{""000977"": 0.1, ""588000"": 0.1}",trend_filter_removed=21;anomaly_veto_removed=0;missing_prices=1
2026-05-12,2026-05-11,0.9990452783467442,0.000833072890292261,0.0002450203575390421,0.4850656659415237,0.000588052532753219,6,0.2850656659415237,"{""159915"": 0.05018572385478958, ""159995"": 0.1, ""512880"": 0.1, ""600050"": 0.03487994208673414}",trend_filter_removed=8;anomaly_veto_removed=0;missing_prices=1
2026-05-13,2026-05-12,1.0022589712474368,0.004043182334848262,0.003216764014951096,0.6766908174445534,0.0008264183198971664,9,0.3916251515030297,"{""300394"": 0.08312664605633888, ""603019"": 0.06400022336358176, ""688256"": 0.1, ""688308"": 0.07196469560438307, ""688981"": 0.072533586478726}",trend_filter_removed=8;anomaly_veto_removed=0;missing_prices=1
2026-05-14,2026-05-13,0.9928758640974159,-0.008464145017491098,-0.009361958754375028,0.6327357317261246,0.0008978137368839293,8,0.24111058022309498,"{""159995"": 0.1, ""600050"": 0.04111058022309496, ""688041"": 0.1}",trend_filter_removed=5;anomaly_veto_removed=0;missing_prices=1
2026-05-15,2026-05-14,0.9889734482786322,-0.0036195931165235546,-0.003930416641088575,0.2121411804274077,0.0003108235245650211,3,0.1710306002043127,"{""159995"": 0.1, ""603019"": 0.07103060020431272}",trend_filter_removed=6;anomaly_veto_removed=0
2026-05-16,2026-05-15,0.9885086225728761,5.123752758692617e-05,-0.00047000827632445773,0.43776900463383905,0.0005212458039113839,6,0.26673840442952634,"{""002837"": 0.05371297690006108, ""515880"": 0.05483199725214569, ""688498"": 0.05819343027731957, ""688981"": 0.1}",trend_filter_removed=7;anomaly_veto_removed=0;missing_prices=2
2026-05-17,2026-05-16,0.9880340107899263,0.0,-0.0004801291279731474,0.26673840442952634,0.0004801291279731474,4,0.0,{},trend_filter_removed=5;anomaly_veto_removed=0
2026-05-18,2026-05-17,1.002468015808557,0.014762990202701354,0.014608813928470816,0.19272034278817357,0.00015417627423053884,2,0.19272034278817357,"{""588000"": 0.1, ""688808"": 0.09272034278817355}",trend_filter_removed=5;anomaly_veto_removed=0
2026-05-19,2026-05-18,1.0036470434245803,0.0015030215381436785,0.001176124921124966,0.29272034278817355,0.0003268966170187124,3,0.30000000000000004,"{""588000"": 0.1, ""600183"": 0.1, ""603019"": 0.1}",trend_filter_removed=6;anomaly_veto_removed=0;missing_prices=2
2026-05-20,2026-05-19,1.0060263567063923,0.003074537098379417,0.002370667355023066,0.5048371791954389,0.0007038697433563512,6,0.2048371791954388,"{""159995"": 0.1, ""601138"": 0.07166228672303837, ""688808"": 0.033174892472400436}",trend_filter_removed=3;anomaly_veto_removed=0;missing_prices=1
2026-05-21,2026-05-20,1.0099329875345322,0.00415193602693601,0.00388322910438422,0.2048371791954388,0.0002687069225517898,3,0.2,"{""159995"": 0.1, ""512880"": 0.1}",trend_filter_removed=4;anomaly_veto_removed=0
2026-05-22,2026-05-21,1.0052241750814923,-0.004546860060585756,-0.004662499899656812,0.14454979883882002,0.00011563983907105601,2,0.34454979883882003,"{""002463"": 0.0, ""159915"": 0.1, ""159995"": 0.1, ""512880"": 0.1, ""600050"": 0.04454979883882002}",trend_filter_removed=4;anomaly_veto_removed=0;missing_prices=1
2026-05-23,2026-05-22,1.0046007454643302,0.0,-0.000620189637909876,0.34454979883882003,0.000620189637909876,4,0.0,{},trend_filter_removed=15;anomaly_veto_removed=1
2026-05-24,2026-05-23,1.0043596412854188,0.0,-0.00024,0.30000000000000004,0.00024,3,0.30000000000000004,"{""300499"": 0.1, ""300502"": 0.1, ""600183"": 0.1}",trend_filter_removed=6;anomaly_veto_removed=0
